"","knn.EpCAM","knn.EpCAM..SMA","knn.SMA","knn.Unclass","knn.EpMIN","knn.EpStrRatio1","knn.EpStrRatio2","knn.EpStrRatio3","knn.EpStrRatio4","IF.CD8","IF.EpCAM","IF.EpCAM..SMA","IF.SMA","IF.Unclass","IF.EpMIN","IF.EpStrRatio1","IF.EpStrRatio2","IF.EpStrRatio3","IF.EpStrRatio4","MH.EpCAM","MH.EpCAM..SMA","MH.SMA","MH.Unclass","MH.EpMIN","MH.EpStrRatio1","MH.EpStrRatio2","MH.EpStrRatio3","MH.EpStrRatio4","Treatment","Growth","Infil","CD8frac","GrowthRate","TumSize","knn.EpCAMcut","MH.EpCAMcut","IF.EpCAMcut","CD8Fraccut","CD8","EpCAM","EpCAM: SMA","SMA","Unclass"
"10LB",39.9619294720996,52.7225336699768,16.9493539789847,28.0762263357204,39.9619294720996,0.573573227604308,2.35772581784816,1.33029929674165,5.46831833573095,0.205382630863877,0.223655487199841,0.0803883554429298,0.590501778435892,0.301082327079549,0.0803883554429298,0.33337125694002,0.378754976474846,0.453194684627287,0.514890646812471,0.459879026374969,0.452396344103646,0.612963931547355,0.554407461965743,0.452396344103646,0.431665265624771,0.750254627893127,0.856306914504728,1.488301878017,"PDL1","growing","Infiltrating",0.02289774,6.22857142857142,35,"high","high","low","low",0.0228977401821137,0.266314906408934,0.120030410542321,0.393649789398256,0.197107153468375
"10LC",17.8734545331956,34.5773378976414,32.1225777378723,24.2862577170351,17.8734545331956,0.267968173016385,0.556414079811625,0.786369696739318,1.63283260947635,0.0784257397299627,0.476874461361678,0.237575409365125,0.316862970410801,0.37144498707268,0.237575409365125,0.860103626943006,1.5049864007253,1.28860103626943,2.25475974614688,0.543261018510084,0.521200146193761,0.475544744577883,0.572758237889965,0.521200146193761,0.545035167513636,1.14239727113862,1.06793741764734,2.23840380288234,"PDL1","growing","Infiltrating",0.010034071,5.35714285714286,25,"high","high","high","low",0.0100340714520434,0.308196749664186,0.167235485042575,0.296041139404701,0.218492554436495
"10LD",34.3310980038422,30.1813313277352,15.9708642750149,35.9949538858457,30.1813313277352,0.74386705887935,2.14960802450437,1.39781929091437,4.03938247928772,0.281622167443794,0.294437349648065,0.256377891954501,0.578673042083692,0.145020937899082,0.256377891954501,0.352598072340577,0.508814698863199,0.659618735996017,0.951859170109575,0.686735650348155,0.621243361627789,0.721593104441023,0.616443478568439,0.621243361627789,0.511406762998171,0.951693753892133,0.974041921727882,1.81262681686677,"PDL1","stable","Infiltrating",0.068108769,1.97297297297297,10,"high","high","high","high",0.0681087685159526,0.194893106594036,0.206384476435713,0.406670294171786,0.123943354282513
"10NA",23.8097655692235,NA,27.4927614773069,48.1920548844928,23.8097655692235,0.866037614623638,0.866037614623638,0.866037614623638,0.866037614623638,0.35915415397041,0.480854656925731,NA,0.320716619552847,0.111274275854473,0.480854656925731,1.49931318681319,1.49931318681319,1.49931318681319,1.49931318681319,0.476446131363457,NA,0.508268943152451,0.403389337252738,0.476446131363457,0.937389816517967,0.937389816517967,0.937389816517967,0.937389816517967,"PDL1",NA,"restricted",0.046562712,NA,12,"high","high","high","high",0.046562711539908,0.555444823554349,0,0.285519900990776,0.112472563914967
"10ND",26.2080114341122,NA,30.0620994045927,40.017617335768,26.2080114341122,0.871795781172499,0.871795781172499,0.871795781172499,0.871795781172499,0.300866566451499,0.440887788487046,NA,0.173843841188434,0.142629763904855,0.440887788487046,2.53611393692777,2.53611393692777,2.53611393692777,2.53611393692777,0.418184347607352,NA,0.350679903734238,0.320639407141568,0.418184347607352,1.19249590054716,1.19249590054716,1.19249590054716,1.19249590054716,"PDL1","stable","restricted",0.022719488,0.393053320756811,15,"high","low","high","low",0.0227194879526846,0.465147815290904,0,0.283720378932692,0.228412317823719
"10RBL",44.9270325366952,67.362948168925,18.227737713612,26.0789306004034,44.9270325366952,0.524905625810175,2.46476185045964,1.31194159209946,6.16039041541425,0.127910403772473,0.221338048924256,0.203949307397583,0.575891541408783,0.45446507515473,0.203949307397583,0.283824640967498,0.384339815762539,0.545351473922903,0.738485158648925,0.585760332994911,0.536050253845929,0.688102802362355,0.591797817005499,0.536050253845929,0.47850252876814,0.85126863454692,0.916397325605311,1.63029504165585,"PDL1","growing","restricted",0.020271481,4.97619047619048,40,NA,"high","low","low",0.0202714813177359,0.347853361851617,0.150545471925821,0.254764664412288,0.226565020492538
"10RBU",87.1290119223447,76.1212139820092,20.7838391797493,35.2322583582712,76.1212139820092,0.899117322364034,4.19215194886798,1.68464100248569,7.85467133826827,0.43176872689031,0.0816202095465047,0.311947954600122,0.472341092036002,0.287748857451319,0.0816202095465047,0.10406904176028,0.172799298902166,0.50181519917264,0.833228721325454,0.384002966738577,0.433613747599949,0.600198741822875,0.569209083514097,0.384002966738577,0.371443536102921,0.639793021845255,0.790875253204767,1.36224329937002,"PDL1",NA,"restricted",0.067064099,NA,12,NA,"low","low","high",0.0670640985529038,0.163958472607062,0.335904973488285,0.286529107365132,0.146543347986618
"11LB",69.1029642114784,7919.73814699934,6967.17454887033,17.4776096943474,69.1029642114784,0.00464185997615549,0.00991836270596707,0.536635182486648,1.14664001241452,0.692943711696291,0.208010474138151,0,1.01888503410718e-05,0.577473470780924,0,20415.5,20415.5,20415.5,20415.5,0.299253713252263,0.000930482573403711,0.00141953295132162,0.615306256385877,0.000930482573403711,127.341164389644,210.811389037254,127.737111805145,211.466874049093,"PDL1","growing",NA,0.152177739,3.78571428571429,25,NA,"low","low","high",0.152177738773681,0.455467236429688,1.00783553364504e-05,3.64371308317822e-05,0.392308509310462
"11ND",92.9823657270467,115.537832166079,26.8977347268818,27.030770888554,92.9823657270467,0.652803002475654,3.45688462880554,1.46396158236115,7.75233304999209,0.895123167921705,0.00798156638240255,0.0146566263629237,0.4326199016557,0.276599282609212,0.00798156638240255,0.0178448138509746,0.0184493740390951,0.0506134154761272,0.0523281352954096,0.564306627329038,0.463795076758026,0.740139756635796,0.760477621098301,0.463795076758026,0.468718581501866,0.762432530167028,0.853951290028635,1.38906428802063,"PDL1","stable","Infiltrating",0.380067171,0.10655737704918,3,NA,"high","low","high",0.380067171051444,0.014002997417887,0.018544266084036,0.423177624094906,0.164207941351727
"11RC",153.335126312092,178.570277858514,70.2646798349859,25.5393123173911,153.335126312092,0.616212158184627,2.18225040905607,1.33383752527017,4.7236450084178,0.789417223829957,0.0386687955293883,0.0222283205268935,0.05326314739048,0.428649835345774,0.0222283205268935,0.512227362855255,0.725995316159251,0.806675479180436,1.14332552693208,0.038837246339176,0.040005882254628,0.0547144387210936,0.234990097863977,0.038837246339176,0.410020214660491,0.709817138710835,0.83237818222779,1.44099309865365,"PDL1","growing","restricted",0.050418604,2.67857142857143,19,NA,"low","low","high",0.050418603715108,0.311258528044436,0.173017418342088,0.208405029282135,0.256900420616233
