"","TumorIDnew","Growth","CD8Frac","TumSize","Time.NMU2Sac","Age.Injection","Treatment","Cohort","SizeCat"
"C2N__CD45","C2T1",NA,NA,19,NA,"32-36","Vehicle","Prevention","big"
"C2N__Ep","C2T1",NA,NA,19,NA,"32-36","Vehicle","Prevention","big"
"C2R__CD45","C3T1",NA,NA,21,NA,"32-36","Vehicle","Prevention","big"
"C2R__Ep","C3T1",NA,NA,21,NA,"32-36","Vehicle","Prevention","big"
"C5R__CD45","C5T1",NA,NA,9,NA,"32-36","Vehicle","Prevention","big"
"C5R__Ep","C5T1",NA,NA,9,NA,"32-36","Vehicle","Prevention","big"
"10L_D_CD45","P24T3","stable",0.0681087685159526,10,79,"32-36","PDL1","Progression","small"
"10L_C_CD45","P24T2","growing",0.0100340714520434,25,79,"32-36","PDL1","Progression","big"
"10R_BL_CD45","P26T1","growing",0.0202714813177359,40,98,"32-36","PDL1","Progression","big"
"10R_BU_CD45","P26T2",NA,0.0670640985529038,12,98,"32-36","PDL1","Progression","small"
"11L_B_CD45","P27T1","growing",0.152177738773681,25,112,"32-36","PDL1","Progression","big"
"11N_D_CD45","P28T1","stable",0.380067171051444,3,127,"32-36","PDL1","Progression","small"
"11R_D_CD45","P29T2","growing",0.0224452418752018,25,112,"32-36","PDL1","Progression","big"
"11R_C_CD45","P29T1","growing",0.050418603715108,19,112,"32-36","PDL1","Progression","small"
"14N_B_CD45","P31T1","growing",0.106152004735647,23,79,"32-36","PDL1+LY","Progression","big"
"14N_C_CD45","P31T2","stable",0.0541297977067744,6,79,"32-36","PDL1+LY","Progression","small"
"14N_D_CD45","P31T3","stable",NA,5,79,"32-36","PDL1+LY","Progression","small"
"15L_B_CD45","P33T1","growing",0.0129612204366809,10,79,"32-36","PDL1+LY","Progression","small"
"15N_C_CD45","P34T1","growing",NA,30,112,"32-36","PDL1+LY","Progression","big"
"15R_D_CD45","P35T1","growing",0.0328312348073089,17,112,"32-36","PDL1+LY","Progression","small"
"16L_D_CD45","P36T3","stable",0.0316167665758732,24,163,"32-36","PDL1+LY","Progression","big"
